Front,Back
"La BFS è:
A) Sempre ottimale anche con costi diversi
B) Completa e ottimale se tutte le azioni hanno lo stesso costo
C) Incompleta su spazi finiti
D) Mai ottimale",B
"La ricerca a costo uniforme espande sempre:
A) Il nodo con profondità minima
B) Il nodo con costo di cammino g(n) minimo
C) Il nodo con h(n) minimo
D) Il nodo generato più recentemente",B
"La ricerca in profondità (DFS) usa una frontiera implementata come:
A) Pila (LIFO)
B) Coda (FIFO)
C) Coda con priorità
D) Albero bilanciato",A
"Un problema tipico della DFS su spazi infiniti è:
A) Usa troppa memoria
B) Può non terminare a causa di cammini infiniti
C) Non trova mai soluzioni
D) Richiede costi uniformi",B
"La ricerca in profondità limitata introduce:
A) Un limite sul numero di azioni totali
B) Un limite sulla profondità massima esplorata
C) Un limite sul numero di stati totali
D) Un limite sul costo totale",B
"L'approfondimento iterativo combina:
A) Ampiezza e UCS
B) Profondità e profondità limitata
C) Ampiezza e profondità
D) Greedy e A*",C
"La ricerca bidirezionale:
A) Parte solo dal goal
B) Parte dallo stato iniziale e dallo stato obiettivo, cercando di incontrarsi
C) È equivalente alla DFS
D) Può essere usata solo in ambienti stocastici",B
"Per evitare cicli nella ricerca-grafo si usa tipicamente:
A) Una tabella con i nodi già esplorati
B) Una pila ausiliaria
C) Una euristica casuale
D) Un limite sul numero di azioni",A
"In una versione corretta di BFS su grafo:
A) Si ignorano gli stati già visti
B) Si espandono più volte gli stessi stati
C) Non si tiene traccia degli stati raggiunti
D) Si usa sempre profondità limitata",A
"Una funzione euristica h(n) stima:
A) Il costo già sostenuto dall'inizio
B) Il costo da n al goal
C) Il costo totale del cammino
D) Il numero di nodi nella frontiera",B
"Nella ricerca Best-First classica con f(n)=g(n), l'algoritmo coincide con:
A) Ricerca in ampiezza
B) Ricerca a costo uniforme
C) Ricerca greedy
D) A*",B
"La ricerca greedy best-first usa:
A) Solo g(n)
B) Solo h(n)
C) g(n)+h(n)
D) Nessuna euristica",B
"L'algoritmo A* usa una funzione:
A) f(n)=g(n)
B) f(n)=h(n)
C) f(n)=g(n)+h(n)
D) f(n)=g(n)-h(n)",C
"Una euristica ammissibile per A* deve:
A) Sovrastimare il costo reale
B) Non sovrastimare mai il costo reale
C) Essere sempre esatta
D) Essere costante",B
"Una euristica consistente soddisfa:
A) h(n) ≥ h*(n)
B) h(n) ≤ c(n,a,n') + h(n')
C) h(n) = 0 per tutti i nodi
D) h(n) negativa",B
"Il principale problema pratico di A* è:
A) Non è mai ottimale
B) Usa molta memoria per mantenere la frontiera
C) Non è completo
D) Non può usare euristiche",B
"La Beam Search mantiene in memoria:
A) Tutti i nodi generati
B) Solo i k nodi più promettenti
C) Solo i nodi di profondità massima
D) Solo i nodi con costo massimo",B
"Un limite importante della Beam Search è che:
A) Non è completa in generale
B) Non può usare euristiche
C) Non può essere implementata con coda
D) Non funziona su grafi",A
"IDA* combina:
A) A* e ricerca in ampiezza
B) A* e ricerca in profondità iterativa
C) Greedy e DFS
D) UCS e Beam Search",B
"IDA* pone un limite su:
A) La profondità
B) Il valore f(n)
C) Il numero di nodi
D) Il numero di azioni",B
"Un'euristica h2 domina un'euristica h1 se:
A) h2(n) ≥ h1(n) per tutti i nodi
B) h2(n) ≤ h1(n) per tutti i nodi
C) h2 è più veloce da calcolare
D) h2 è sempre esatta",A
"Gli agenti classici assumono che l'ambiente sia:
A) Non osservabile e stocastico
B) Completamente osservabile e deterministico
C) Parzialmente osservabile e dinamico
D) Solo multi-agente",B
"Nella ricerca locale interessa principalmente:
A) Il cammino soluzione
B) Lo stato finale raggiunto
C) La profondità dell'albero
D) Il numero esatto di nodi esplorati",B
"La ricerca locale mantiene in memoria:
A) Tutto l'albero di ricerca
B) Solo lo stato corrente (e a volte pochi vicini)
C) Tutta la frontiera
D) Tutti i cammini provati",B
"Nel paesaggio delle funzioni obiettivo, un massimo locale è:
A) Il punto più alto di tutta la funzione
B) Un punto più alto dei vicini ma non necessariamente globale
C) Un punto di valore minimo
D) Una regione piatta",B
"Una plateau (altopiano) nella ricerca locale è:
A) Una discesa ripida
B) Una zona dove molti stati hanno lo stesso valore
C) Un massimo globale
D) Uno stato impossibile",B
"Nell'Hill Climbing 'steepest-ascent':
A) Si prende il primo vicino migliore trovato
B) Si sceglie il vicino con il miglior valore tra tutti
C) Si sceglie casualmente qualsiasi vicino
D) Si sceglie il vicino peggiore",B
"Il riavvio casuale (random restart) nella ricerca locale serve a:
A) Aumentare la memoria usata
B) Evitare di restare bloccati in massimi locali
C) Ridurre il numero di vicini
D) Rendere la ricerca deterministica",B
"Nel Simulated Annealing, la 'temperatura' controlla:
A) Il numero di sensori usati
B) La probabilità di accettare mosse peggiori
C) Il numero di stati visitati
D) Il costo della soluzione",B
"Con temperatura molto alta, il Simulated Annealing:
A) Si comporta come Hill Climbing puro
B) Accetta spesso mosse peggiori
C) Non modifica mai lo stato
D) È sempre ottimale",B
"Il Local Beam Search mantiene:
A) Un solo stato corrente
B) k stati correnti, generando successori da tutti
C) Solo stati obiettivo
D) Solo stati con h(n)=0",B
"Gli alberi AND-OR sono usati quando:
A) L'ambiente è deterministico
B) L'ambiente è non deterministico
C) Non esistono azioni
D) Non esistono sensori",B
"In un problema sensorless (senza sensori), l'agente ragiona su:
A) Stati fisici singoli
B) Stati-credenza (insiemi di stati possibili)
C) Solo sequenze percettive
D) Solo azioni",B
"In un belief state, uno stato è rappresentato come:
A) Un singolo stato fisico
B) Un insieme di stati fisici compatibili
C) Una sola percezione
D) Una sola azione",B
"Nella ricerca con osservazioni parziali, l'aggiornamento del belief state avviene:
A) Solo considerando le azioni
B) Considerando azioni e percezioni
C) Considerando solo percezioni
D) Considerando solo il tempo",B
"Un agente online:
A) Pianifica l'intero piano prima di agire
B) Alterna azione, percezione e decisione passo passo
C) Non percepisce mai l'ambiente
D) Non può usare euristiche",B
"In ambienti ignoti, l'agente deve:
A) Evitare di agire finché non conosce tutto
B) Agire per esplorare e costruire un modello dell'ambiente
C) Usare solo conoscenze predefinite
D) Ignorare i risultati delle azioni",B
"LRTA* è un algoritmo che:
A) È offline e batch
B) Aggiorna la sua euristica durante l'esplorazione, in tempo reale
C) Non usa euristiche
D) Usa solo ricerca in profondità",B
"In un agente basato sulla conoscenza, la KB contiene:
A) Solo percezioni grezze
B) Formule logiche che rappresentano fatti e regole sul mondo
C) Solo piani di azione
D) Solo funzioni di utilità",B
"L'operazione TELL(KB, φ) serve per:
A) Interrogare la KB
B) Inserire un nuovo fatto o regola nella KB
C) Cancellare la KB
D) Ottimizzare l'inferenza",B
"L'operazione ASK(KB, α) serve per:
A) Aggiornare gli assiomi
B) Verificare se α è conseguenza logica della KB
C) Aggiungere α alla KB
D) Misurare il tempo di inferenza",B
"La sintassi di un linguaggio logico definisce:
A) Il significato dei simboli
B) Le regole per costruire frasi ben formate
C) I modelli che rendono vere le formule
D) Il metodo di inferenza",B
"La semantica di un linguaggio logico definisce:
A) Come scrivere formule
B) La corrispondenza tra formule e fatti del mondo
C) Il formato delle prove
D) La complessità computazionale",B
"Un modello (interpretazione) in logica è:
A) Una dimostrazione formale
B) Un assegnamento di significato ai simboli che rende vere certe formule
C) Una regola di inferenza
D) Un insieme di euristiche",B
"KB ⊨ α significa che:
A) KB è equivalente ad α
B) α è conseguenza logica di KB (tutti i modelli di KB sono modelli di α)
C) α contraddice KB
D) KB è inconsistente",B
"Nel ragionamento monotono, aggiungere nuove formule alla KB:
A) Può invalidare conclusioni precedenti
B) Non invalida le conclusioni già derivate
C) Cancella automaticamente vecchie formule
D) Riduce a zero il numero di modelli",B
"Nel mondo di Wumpus, l'agente spesso è progettato come:
A) Agente puramente basato su utilità
B) Agente reattivo che usa regole condizione-azione
C) Agente sensorless
D) Agente senza conoscenza del mondo",B
"Nel problema delle 8 regine con Hill Climbing, sperimentalmente:
A) Ha quasi sempre successo (circa >90% dei casi) con mosse laterali
B) È sempre fallimentare
C) Richiede esplorazione esaustiva di tutti gli stati
D) Non può usare mosse laterali",A
"Nel gioco dell'8 (8-puzzle), A* viene spesso usato con:
A) Nessuna euristica
B) Euristiche come numero di tessere fuori posto o distanza di Manhattan
C) Una sola azione possibile
D) Euristiche casuali",B
